leixing,nianfen,licheng,didian,shoujia,yuanjia,brand
大众 宝来 2011款 1.6L 手动时尚型,2011年,7.4万公里,大连,3.08万,11.70万,大众
宝马X3 2012款 xDrive28i 领先型(进口),2014年,8.5万公里,大连,19.88万,59.16万,宝马
传祺GS4 2016款 235T G-DCT豪华版,2016年,4.6万公里,大连,8.38万,15.61万,传祺
大众 迈腾 2013款 1.8TSI 尊贵型,2013年,11.4万公里,大连,11.80万,27.44万,大众
日产 骐达 2011款 1.6L CVT智能型,2012年,1.2万公里,大连,5.81万,13.60万,日产
日产 逍客 2012款 2.0XL 火 CVT 2WD,2013年,7.0万公里,大连,7.30万,17.89万,日产
日产 骊威 2010款 劲锐版 1.6L 手动标准型,2012年,5.9万公里,大连,3.77万,10.83万,日产
长安 逸动 2015款 XT 1.6L 手动俊酷型 国V,2015年,5.9万公里,大连,4.32万,9.00万,长安
标致408 2015款 1.2T 自动豪华版,2017年,7.3万公里,大连,7.80万,16.47万,标致
雪铁龙 爱丽舍 2015款 质尚版 1.6L 手动时尚型,2015年,4.9万公里,大连,3.90万,9.10万,雪铁龙
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,2015年,4.3万公里,大连,7.01万,16.27万,别克
福特 嘉年华 2013款 两厢 1.5L 手动风尚型,2014年,5.5万公里,大连,3.53万,8.67万,福特
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016年,4.3万公里,大连,9.74万,22.78万,雪佛兰
吉利 远景SUV 2016款 1.8L 手动尊贵型,2016年,3.6万公里,大连,4.65万,9.54万,吉利
长城C50 2013款 1.5T 手动精英型,2013年,6.0万公里,大连,3.50万,9.42万,长城
马自达6 2008款 2.0L 自动时尚型,2011年,10.1万公里,大连,5.20万,19.52万,马自达
大众 速腾 2017款 1.6L 手动舒适型,2016年,1.8万公里,大连,8.63万,15.07万,大众
哈弗H7 2017款 红标H7 2.0T 自动豪华型,2017年,8.0万公里,大连,9.34万,17.69万,哈弗
奥迪Q3 2018款 30 TFSI 时尚型典藏版,2019年,0.5万公里,大连,19.88万,28.22万,奥迪
长安欧尚科赛 2018款 1.5T 自动 妙 7座,2019年,0.4万公里,大连,11.11万,14.42万,长安欧尚科赛
长安欧尚 欧尚A800 2017款 1.5T 自动舒适型,2018年,0.9万公里,大连,6.62万,9.11万,长安欧尚
奥迪A6 2013款 40 hybrspecid(进口),2015年,6.7万公里,大连,24.32万,69.25万,奥迪
路虎 揽胜极光 2015款 2.0T 5门耀动版(进口),2014年,2.3万公里,大连,22.44万,68.17万,路虎
别克 凯越 2013款 1.5L 自动尊享型,2014年,10.7万公里,大连,4.28万,12.58万,别克
本田 凌派 2015款 1.8L 自动豪华版,2016年,3.2万公里,大连,8.54万,14.63万,本田
大众 朗行 2015款 1.6L 自动舒适版,2016年,2.7万公里,大连,8.77万,15.19万,大众
现代 全新胜达 2013款 改款 2.4L 自动四驱智能型,2013年,9.2万公里,大连,10.27万,28.42万,现代
江淮 瑞风S3 2014款 1.5L CVT豪华智能型,2015年,6.1万公里,大连,3.93万,9.20万,江淮
众泰 大迈X5 2015款 1.5T 手动尊贵型 国V,2016年,4.9万公里,大连,4.50万,9.76万,众泰
东风风光ix5 2019款 280TGDI CVT智尊型 国V,2019年,1.6万公里,大连,9.59万,15.17万,东风风光
大乘汽车 大乘G70s 2019款 2.0T 自动尊贵型,2018年,2.6万公里,大连,9.38万,14.10万,大乘汽车
大众POLO 2011款 1.6L 自动致尚版,2011年,5.7万公里,大连,4.10万,12.15万,大众
吉利 海景 2015款 1.5L 手动精英型,2016年,6.0万公里,大连,2.69万,6.18万,吉利
奔腾B70 2012款 1.8L 手动时尚型,2013年,5.9万公里,大连,4.00万,13.44万,奔腾
别克 昂科威 2018款 28T 四驱精英型,2018年,3.0万公里,大连,17.58万,29.30万,别克
标致308 2014款 乐享版 经典 1.6L 手动优尚型,2015年,5.8万公里,大连,4.31万,11.50万,标致
福特 福克斯 2013款 两厢经典 1.8L 自动基本型,2015年,2.7万公里,大连,5.25万,11.92万,福特
纳智捷 大7 MPV 2015款 2.0T 商务型,2014年,1.8万公里,大连,8.20万,23.66万,纳智捷
陆风X7 2015款 2.0T 全景尊贵版,2015年,4.0万公里,大连,7.00万,15.17万,陆风
福特 福克斯 2011款 两厢 1.8L 自动时尚型,2011年,9.9万公里,大连,4.10万,13.87万,福特
斯巴鲁 森林人 2012款 经典 2.5XS 自动豪华版,2013年,7.4万公里,大连,9.99万,29.29万,斯巴鲁
奔驰B级 2009款 B 200 豪华型(进口),2011年,10.1万公里,大连,7.90万,38.86万,奔驰
斯柯达 明锐 2012款 1.6L 手动逸杰版,2012年,6.2万公里,大连,4.50万,13.95万,斯柯达
大众POLO 2011款 1.6L 自动致尚版,2012年,4.9万公里,大连,4.38万,12.15万,大众
别克 英朗 2018款 18T 自动旗舰型,2018年,4.2万公里,大连,7.70万,15.62万,别克
别克 君越 2012款 2.4L SIDI豪雅版,2012年,9.0万公里,大连,8.00万,27.78万,别克
比亚迪 速锐 2014款 1.5L 手动豪华型,2014年,3.7万公里,大连,3.00万,7.91万,比亚迪
MG6 2012款 掀背 1.8L 自动驾值版,2011年,5.1万公里,大连,3.13万,15.07万,MG6
福特 福睿斯 2015款 1.5L 手动舒适型,2017年,2.2万公里,大连,5.73万,10.51万,福特
奔腾X80 2013款 2.0L 手动豪华型,2014年,8.2万公里,大连,5.00万,14.31万,奔腾
起亚K2 2012款 三厢 1.4L AT GLS纪念版,2014年,4.5万公里,大连,4.62万,9.32万,起亚
福特 嘉年华 2013款 三厢 1.5L 手动风尚型,2015年,2.1万公里,大连,3.54万,8.67万,福特
大众POLO 2014款 1.4L 手动风尚版,2015年,1.4万公里,大连,5.30万,8.24万,大众
福特 翼搏 2017款 1.5L 自动风尚型,2017年,0.9万公里,大连,7.50万,12.41万,福特
荣威350 2015款 1.5L 手动豪华天窗版,2016年,3.6万公里,大连,3.60万,8.54万,荣威
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,2013年,11.5万公里,大连,6.88万,16.05万,大众
雪铁龙 爱丽舍 2015款 质尚版 1.6L 手动时尚型,2015年,3.0万公里,大连,4.40万,9.10万,雪铁龙
起亚KX5 2016款 1.6T 自动两驱DLX,2017年,4.5万公里,大连,11.50万,19.19万,起亚
大众 捷达 2015款 1.6L 自动时尚型,2017年,6.1万公里,大连,6.20万,10.67万,大众
Jeep 指南者 2011款 2.0L 两驱运动版(进口),2011年,7.7万公里,大连,6.76万,24.09万,Jeep
大众 迈腾 2012款 旅行版 2.0TSI 豪华型(进口),2016年,8.2万公里,大连,12.98万,42.50万,大众
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,2018年,0.8万公里,大连,7.38万,9.53万,丰田
大众 宝来 2012款 1.6L 自动时尚型,2012年,7.3万公里,大连,4.90万,13.00万,大众
雷诺 科雷傲 2012款 2.5L 两驱舒适导航版(进口),2013年,5.3万公里,大连,8.50万,27.98万,雷诺
奥迪Q5 2015款 40 TFSI 进取型,2015年,3.6万公里,大连,22.00万,42.07万,奥迪
别克 威朗 2015款 三厢 15S 自动领先型,2016年,3.0万公里,大连,8.09万,16.81万,别克
奔驰C级 2015款 改款 C 180 L 运动型,2016年,8.5万公里,大连,21.00万,35.36万,奔驰
荣威950 2012款 2.4L 豪华行政版,2012年,9.6万公里,大连,5.80万,28.75万,荣威
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2015年,6.4万公里,大连,6.80万,13.56万,大众
宝马5系 2017款 525Li 领先型,2016年,3.9万公里,大连,30.51万,50.65万,宝马
江淮 瑞风S3 2016款 1.5L CVT豪华智能型,2015年,7.4万公里,大连,4.28万,9.20万,江淮
大众POLO 2014款 1.6L 自动舒适版,2016年,1.8万公里,大连,6.50万,11.28万,大众
别克 英朗 2015款 15N 自动豪华型,2015年,6.0万公里,大连,6.85万,14.86万,别克
起亚 智跑 2015款 2.0L 自动两驱版DLX,2015年,6.5万公里,大连,8.98万,19.30万,起亚
雪佛兰 迈锐宝 2013款 2.4L 自动豪华版,2013年,9.8万公里,大连,7.38万,21.70万,雪佛兰
雪佛兰 创酷 2014款 1.4T 自动两驱舒适型,2015年,4.1万公里,大连,7.25万,13.23万,雪佛兰
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,2016年,4.8万公里,大连,7.08万,14.85万,哈弗
日产 骊威 2010款 劲锐版 1.6L 自动智能高配型,2010年,8.4万公里,大连,3.90万,12.68万,日产
大众POLO 2014款 1.6L 自动舒适版,2015年,2.4万公里,大连,6.08万,11.28万,大众
大众 途观 2010款 2.0TSI 自动四驱旗舰导航版,2011年,13.7万公里,大连,9.00万,33.63万,大众
福特 福克斯 2012款 两厢 1.6L 自动舒适型,2015年,6.3万公里,大连,5.60万,14.21万,福特
奔腾X80 2016款 2.0L 自动舒适型,2016年,4.0万公里,大连,7.00万,14.52万,奔腾
福特 福克斯 2012款 两厢 1.6L 自动舒适型,2014年,6.5万公里,大连,5.80万,14.21万,福特
大众 高尔夫 2012款 1.6 手动舒适型,2012年,7.9万公里,大连,4.98万,13.76万,大众
本田 冠道 2017款 240TURBO 两驱豪华版,2017年,1.9万公里,大连,21.34万,27.55万,本田
日产 楼兰 2011款 3.5L CVT,2013年,7.5万公里,大连,13.88万,53.06万,日产
雪铁龙 世嘉 2014款 1.6L 手动车载互联版,2014年,13.8万公里,大连,3.98万,13.00万,雪铁龙
日产 蓝鸟 2016款 1.6L CVT炫酷版,2016年,6.9万公里,大连,7.71万,13.45万,日产
陆风X7 2015款 2.0T 全景旗舰版,2015年,2.3万公里,大连,6.30万,16.04万,陆风
福特 福克斯 2014款 两厢经典 1.8L 自动酷白典藏版,2015年,2.7万公里,大连,6.80万,13.55万,福特
奥迪A3 2014款 Sportback 35 TFSI 自动舒适型,2015年,6.0万公里,大连,13.70万,27.01万,奥迪
马自达 睿翼 2010款 2.0L 自动豪华版,2010年,8.4万公里,大连,5.00万,21.14万,马自达
别克 威朗 2018款 三厢 15S 自动进取型,2018年,1.6万公里,大连,9.98万,15.95万,别克
宝马1系 2018款 改款 118i 时尚型,2019年,1.0万公里,大连,15.00万,21.69万,宝马
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2016年,6.7万公里,大连,5.98万,11.93万,雪佛兰
大众 桑塔纳 2015款 1.6L 自动舒适版,2015年,2.7万公里,大连,6.60万,12.35万,大众
福特 福睿斯 2015款 1.5L 自动时尚型,2015年,5.7万公里,大连,6.50万,13.00万,福特
马自达6 2013款 2.0L 自动时尚型,2014年,6.7万公里,大连,7.00万,16.04万,马自达
大众 朗行 2013款 1.6L 自动风尚型,2015年,3.4万公里,大连,7.13万,13.88万,大众
奥迪A4L 2010款 2.0 TFSI 标准型,2010年,10.3万公里,大连,9.60万,33.63万,奥迪
福特 福克斯 2012款 两厢 1.6L 手动舒适型,2012年,7.1万公里,大连,3.20万,13.01万,福特
宝骏560 2016款 1.5T 手动舒适型,2016年,1.5万公里,大连,4.72万,8.23万,宝骏
大众 速腾 2014款 1.6L 自动舒适型,2014年,7.5万公里,大连,7.88万,16.37万,大众
路虎 发现神行 2018款 240PS HSE版,2018年,3.0万公里,大连,25.77万,50.45万,路虎
中华V6 2018款 1.5T 手动尊贵型,2018年,2.2万公里,大连,6.03万,11.93万,中华
日产 阳光 2011款 1.5XE CVT舒适版,2012年,7.0万公里,大连,3.70万,10.07万,日产
菲亚特 致悦 2014款 1.4T 自动舒适版,2015年,8.0万公里,大连,5.60万,13.98万,菲亚特
宝骏730 2016款 1.5L 手动舒适型 7座 国V,2018年,2.1万公里,大连,5.00万,7.58万,宝骏
马自达6 2012款 2.0L 自动时尚型,2013年,7.4万公里,大连,6.40万,19.52万,马自达
别克 君威 2014款 1.6T 时尚技术型,2014年,7.8万公里,大连,7.78万,21.70万,别克
江淮 瑞风S3 2014款 1.5L 手动豪华智能型,2014年,4.9万公里,大连,3.26万,8.12万,江淮
哈弗H2 2016款 红标 1.5T 自动两驱豪华型,2016年,4.8万公里,大连,6.38万,13.33万,哈弗
奥迪A4L 2011款 2.0 TFSI 标准型,2012年,4.8万公里,大连,12.13万,33.63万,奥迪
奔驰GLA级 2015款 GLA 200 动感型,2016年,3.4万公里,大连,18.30万,29.29万,奔驰
大众 捷达 2017款 1.5L 自动时尚型,2018年,2.8万公里,大连,6.50万,10.38万,大众
斯柯达 晶锐 2009款 1.4L 自动晶灵版,2011年,6.6万公里,大连,3.80万,11.39万,斯柯达
大众CC 2015款 2.0TSI 至尊型,2015年,6.1万公里,大连,17.00万,32.98万,大众
奥迪Q5 2015款 40 TFSI 进取型,2015年,5.8万公里,大连,20.80万,42.07万,奥迪
林肯MKC 2014款 2.0T 四驱尊耀版,2015年,7.0万公里,大连,19.00万,47.63万,林肯
奔驰C级 2015款 C 200 运动版,2015年,3.8万公里,大连,21.00万,34.17万,奔驰
宝马5系 2010款 523Li 标准型,2009年,12.4万公里,大连,10.18万,47.07万,宝马
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,2014年,3.2万公里,大连,6.43万,16.27万,别克
大众 高尔夫 2015款 1.6L 自动时尚型,2014年,3.2万公里,大连,7.50万,14.53万,大众
福特 翼虎 2015款 1.5L GTDi 两驱舒适型,2016年,5.8万公里,大连,10.70万,21.04万,福特
大众 朗行 2015款 1.6L 自动舒适版,2015年,7.1万公里,大连,7.67万,15.19万,大众
日产 玛驰 2010款 1.5L 自动易炫版,2011年,7.3万公里,大连,3.20万,8.52万,日产
别克 英朗 2013款 GT 1.6L 自动时尚版,2013年,5.5万公里,大连,5.00万,16.58万,别克
奥迪Q5 2013款 40 TFSI 技术型,2014年,9.0万公里,大连,20.20万,46.41万,奥迪
大众 朗行 2015款 1.6L 手动风尚版,2017年,1.4万公里,大连,7.47万,12.25万,大众
本田 锋范 2017款 1.5L CVT舒适版,2017年,1.8万公里,大连,7.50万,9.75万,本田
大众 途昂 2017款 530 V6 四驱旗舰版,2017年,6.0万公里,大连,30.94万,53.07万,大众
马自达 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,2017年,3.6万公里,大连,8.94万,13.45万,马自达
现代 途胜 2015款 1.6T 双离合两驱智能型,2016年,6.9万公里,大连,11.45万,19.53万,现代
奔驰C级 2015款 改款 C 200 L,2015年,6.3万公里,大连,24.00万,38.40万,奔驰
奔驰C级 2010款 C 200 CGI 时尚型,2011年,4.3万公里,大连,11.86万,42.88万,奔驰
奇瑞 瑞虎3 2014款 1.6L 手动风尚版,2015年,4.9万公里,大连,3.98万,8.02万,奇瑞
日产 轩逸 2012款 经典 1.6XE 自动舒适版,2013年,6.9万公里,大连,5.50万,11.92万,日产
起亚K2 2015款 三厢 1.4L AT GLS,2016年,1.9万公里,大连,4.90万,9.32万,起亚
大众POLO 2016款 1.4L 手动风尚型,2017年,2.1万公里,大连,5.02万,8.24万,大众
日产 逍客 2011款 2.0XL 火 6MT 2WD,2012年,8.2万公里,大连,5.00万,16.48万,日产
日产 奇骏 2014款 2.0L CVT舒适版 2WD,2016年,4.0万公里,大连,13.81万,21.36万,日产
福特 野马 2015款 2.3T 性能版(进口),2016年,1.9万公里,大连,24.20万,43.40万,福特
宝马1系 2013款 改款 118i 运动型(进口),2014年,6.0万公里,大连,12.07万,33.76万,宝马
本田 锋范 2018款 1.5L CVT型动Pro版,2018年,0.9万公里,大连,9.10万,11.59万,本田
大众 速腾 2014款 1.4TSI 自动时尚型,2014年,4.4万公里,大连,7.35万,16.91万,大众
路虎 发现神行 2016款 2.0T S,2016年,6.1万公里,大连,21.68万,39.95万,路虎
现代 瑞纳 2014款 1.4L 自动领先型GLX,2015年,6.8万公里,大连,4.75万,10.08万,现代
大众 高尔夫 2019款 280TSI DSG豪华型 国V,2018年,1.1万公里,大连,12.00万,17.93万,大众
别克 君威 2015款 1.6T 领先技术型,2015年,6.5万公里,大连,8.70万,20.61万,别克
日产 天籁 2016款 改款 2.0L XL舒适版,2017年,1.3万公里,大连,14.21万,20.28万,日产
福特 福克斯 2011款 三厢 1.8L 自动时尚型,2012年,8.1万公里,大连,3.80万,13.87万,福特
奔驰C级 2011款 C 200 CGI 优雅型,2012年,11.8万公里,大连,12.88万,37.77万,奔驰
大众 速腾 2012款 1.6L 自动舒适型,2012年,9.7万公里,大连,6.50万,16.37万,大众
哈弗H1 2016款 红标 1.5L AMT舒适型,2016年,3.5万公里,大连,4.30万,6.83万,哈弗
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2014年,4.0万公里,大连,9.25万,20.60万,福特
宝马3系 2010款 320i 时尚型,2010年,9.2万公里,大连,8.80万,37.12万,宝马
奔驰A级 2013款 A 180 时尚型(进口),2014年,3.2万公里,大连,12.69万,27.35万,奔驰
大众 Passat领驭 2009款 1.8T 手动尊享型,2010年,8.5万公里,大连,5.20万,19.73万,大众
奔驰GLA级 2015款 GLA 220 4MATIC 豪华型,2015年,3.1万公里,大连,19.68万,37.97万,奔驰
别克 英朗 2013款 GT 1.6L 自动时尚版,2013年,4.6万公里,大连,5.00万,16.58万,别克
大众 途观 2012款 2.0TSI 舒适版(进口),2015年,5.6万公里,大连,15.38万,39.73万,大众
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,2016年,3.8万公里,大连,12.50万,20.60万,福特
宝马5系 2014款 520Li 典雅型,2016年,9.8万公里,大连,26.80万,47.28万,宝马
别克 君威 2015款 1.6T 精英技术型,2017年,5.6万公里,大连,11.80万,22.78万,别克
丰田 卡罗拉 2011款 1.6L 自动GL,2012年,7.0万公里,大连,6.10万,14.31万,丰田
本田 缤智 2015款 1.8L CVT两驱豪华型,2015年,5.2万公里,大连,11.50万,17.78万,本田
奔驰GLC级 2016款 GLC 200 4MATIC,2016年,3.0万公里,大连,30.21万,42.98万,奔驰
比亚迪S6 2014款 2.4L 自动尊贵型 5座,2014年,3.7万公里,大连,5.17万,11.93万,比亚迪
五菱宏光 2014款 1.5L S舒适型,2015年,7.8万公里,大连,3.08万,7.14万,五菱宏光
标致3008 2013款 2.0L 自动潮流版,2014年,6.4万公里,大连,7.40万,20.27万,标致
斯巴鲁XV 2016款 2.0i 进取版,2016年,1.5万公里,大连,12.69万,20.60万,斯巴鲁
日产 轩逸 2014款 1.6XV CVT尊享版,2014年,6.7万公里,大连,7.70万,14.96万,日产
标致2008 2014款 1.6L 自动潮流版,2015年,5.4万公里,大连,5.80万,11.91万,标致
大众 途观 2012款 1.8TSI 自动两驱风尚版,2013年,3.6万公里,大连,9.82万,25.38万,大众
宝马X1 2010款 xDrive25i(进口),2011年,9.6万公里,大连,10.00万,51.34万,宝马
大众 朗行 2014款 1.4TSI 自动运动版,2015年,2.2万公里,大连,8.79万,17.25万,大众
长安 逸动 2013款 XT 1.6L 手动致酷型 国IV,2015年,4.7万公里,大连,3.90万,9.54万,长安
日产 骐达 2011款 1.6L CVT智能型,2013年,4.0万公里,大连,5.93万,13.60万,日产
别克GL8 2014款 2.4L 行政版,2015年,7.9万公里,大连,11.90万,26.92万,别克
比亚迪 宋 2016款 1.5TI 手动豪华型,2016年,5.3万公里,大连,4.98万,11.60万,比亚迪
标致3008 2013款 2.0L 自动经典版,2014年,9.7万公里,大连,6.80万,18.64万,标致
大众 速腾 2014款 改款 1.4TSI 自动豪华型,2014年,4.8万公里,大连,8.70万,18.21万,大众
哈弗H6 2015款 运动版 1.5T 手动两驱精英型,2015年,5.9万公里,大连,5.88万,13.44万,哈弗
Jeep 自由侠 2018款 互联大屏版 180T 自动智能版,2018年,1.9万公里,大连,11.68万,18.43万,Jeep
比亚迪 秦 2014款 1.5T 旗舰型,2014年,7.1万公里,大连,6.60万,22.77万,比亚迪
东风风光580 2017款 1.5T CVT豪华型,2017年,5.1万公里,大连,6.00万,10.96万,东风风光
现代 瑞纳 2014款 1.4L 手动智能型GLS,2015年,2.9万公里,大连,4.28万,8.56万,现代
大众 途观 2010款 1.8TSI 自动两驱菁英版,2011年,13.8万公里,大连,8.30万,27.33万,大众
丰田 RAV4 2011款 2.0L 自动四驱版,2012年,10.1万公里,大连,8.55万,23.64万,丰田
日产 轩逸 2012款 1.8XL CVT豪华版,2014年,3.6万公里,大连,7.98万,16.28万,日产
MG 锐腾 2017款 20T 自动豪华版,2017年,9.1万公里,大连,6.66万,13.98万,MG
奥迪Q3 2015款 30 TFSI 进取型,2014年,5.0万公里,大连,14.38万,28.96万,奥迪
大众 宝来 2011款 1.4T 自动舒适型,2010年,8.4万公里,大连,4.30万,15.50万,大众
日产 轩逸 2016款 经典 1.6XE 自动领先版,2016年,2.2万公里,大连,6.80万,12.19万,日产
起亚K2 2015款 三厢 1.4L AT GLS,2016年,1.9万公里,大连,5.03万,9.32万,起亚
日产 轩逸 2012款 1.6XL 手动豪华版,2013年,13.9万公里,大连,5.00万,13.57万,日产
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,2017年,2.8万公里,大连,6.00万,11.05万,哈弗
本田 雅阁 2016款 2.0L 舒适版,2017年,5.5万公里,大连,14.90万,19.52万,本田
雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,2014年,6.7万公里,大连,6.88万,18.44万,雪佛兰
大众POLO 2013款 1.4L 手动舒适版,2013年,6.8万公里,大连,3.78万,10.30万,大众
大众 朗行 2013款 1.6L 自动舒适型,2015年,4.1万公里,大连,7.75万,15.29万,大众
福特 嘉年华 2013款 两厢 1.5L 自动时尚型,2013年,9.5万公里,大连,4.68万,10.74万,福特
日产 逍客 2012款 2.0XL 火 CVT 2WD,2013年,10.2万公里,大连,7.38万,17.89万,日产
大众 朗逸 2017款 1.6L 手动风尚版,2017年,1.2万公里,大连,7.21万,11.71万,大众
别克 凯越 2015款 1.5L 手动经典型,2015年,2.5万公里,大连,3.79万,9.43万,别克
起亚K3 2015款 1.6L 自动GLS,2016年,5.1万公里,大连,6.98万,13.55万,起亚
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2014年,9.3万公里,大连,5.60万,13.98万,哈弗
大众 朗行 2013款 1.6L 自动舒适型,2014年,6.7万公里,大连,6.98万,15.29万,大众
Smart smart fortwo 2013款 1.0T 硬顶激情版,2014年,4.2万公里,大连,5.64万,17.15万,Smart
现代 全新胜达 2013款 2.4L 自动四驱舒适型,2014年,7.6万公里,大连,11.96万,26.46万,现代
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2015年,5.0万公里,大连,6.30万,13.98万,哈弗
现代 瑞奕 2016款 1.4L 自动领先型GLX,2017年,3.4万公里,大连,6.75万,9.54万,现代
标致408 2014款 1.8L 自动豪华版,2015年,3.2万公里,大连,6.90万,16.25万,标致
别克 君威 2009款 2.4L 精英版,2010年,15.5万公里,大连,5.30万,24.52万,别克
大众POLO 2011款 1.6L 自动致酷版,2011年,9.6万公里,大连,4.70万,13.45万,大众
本田XR-V 2015款 1.8L VTi CVT豪华版,2016年,4.1万公里,大连,11.40万,17.67万,本田
奔驰GLA级 2015款 GLA 200 时尚型,2015年,4.2万公里,大连,17.53万,31.46万,奔驰
雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,2014年,5.9万公里,大连,4.68万,11.93万,雪佛兰
现代 朗动 2015款 1.6L 自动时尚型,2015年,6.5万公里,大连,5.10万,12.57万,现代
宝马7系 2009款 730Li领先型(进口),2010年,9.3万公里,大连,22.50万,100.73万,宝马
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016年,8.9万公里,大连,10.32万,22.78万,雪佛兰
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,2015年,7.0万公里,大连,6.78万,13.98万,哈弗
起亚K3 2017款 1.6L 自动15周年特别版GLS,2018年,1.2万公里,大连,7.70万,12.90万,起亚
大众 朗行 2013款 1.6L 手动风尚型,2013年,13.5万公里,大连,3.91万,12.58万,大众
雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,2015年,6.8万公里,大连,8.38万,18.44万,雪佛兰
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2015年,7.3万公里,大连,3.84万,9.29万,大众
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,2012年,7.4万公里,大连,20.80万,52.65万,奔驰
奔驰E级 2015款 E 180 L 运动型,2015年,4.4万公里,大连,24.00万,43.20万,奔驰
启辰D50 2013款 1.6L 自动时尚版,2014年,5.4万公里,大连,4.32万,8.44万,启辰
斯柯达 明锐 2015款 1.6L 手动逸俊版,2014年,9.8万公里,大连,5.44万,15.19万,斯柯达
传祺GS5 2013款 1.8T 自动两驱豪华版,2013年,8.1万公里,大连,5.37万,18.87万,传祺
捷豹XF 2009款 XF 3.0L V6豪华版,2011年,5.3万公里,大连,14.80万,75.77万,捷豹
荣威950 2012款 2.0L 典雅版,2014年,11.6万公里,大连,5.02万,23.33万,荣威
雪佛兰 爱唯欧 2014款 三厢 1.4SL AT 时尚版,2014年,8.1万公里,大连,4.39万,9.43万,雪佛兰
斯柯达 昊锐 2012款 1.4TSI DSG智雅版,2013年,8.6万公里,大连,6.50万,20.18万,斯柯达
大众 帕萨特 2011款 1.8TSI DSG尊荣版,2013年,12.9万公里,大连,8.80万,23.75万,大众
纳智捷 大7 SUV 2014款 2.2T 四驱旗舰型,2015年,5.6万公里,大连,8.80万,29.83万,纳智捷
哈弗H2 2016款 红标 1.5T 手动两驱精英型,2016年,5.2万公里,大连,5.30万,11.27万,哈弗
斯柯达 明锐 2014款 1.6L 手动逸俊版,2014年,5.6万公里,大连,4.90万,14.72万,斯柯达
奥迪Q5 2012款 2.0TFSI 技术型,2012年,8.4万公里,大连,15.90万,46.41万,奥迪
福特 福克斯 2012款 两厢 1.6L 自动风尚型,2015年,4.2万公里,大连,6.33万,15.62万,福特
宝马3系 2010款 320i 豪华型,2010年,5.4万公里,大连,10.38万,40.71万,宝马
雪铁龙 世嘉 2013款 三厢 1.6L 自动品尚型,2015年,5.0万公里,大连,4.50万,12.79万,雪铁龙
现代 瑞纳 2014款 1.4L 手动智能型GLS,2015年,10.7万公里,大连,3.70万,8.56万,现代
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017年,4.0万公里,大连,7.50万,13.56万,大众
宝沃汽车 宝沃BX5 2017款 25TGDI 自动两驱智享型,2017年,2.8万公里,大连,10.44万,20.60万,宝沃汽车
英菲尼迪EX系列 2010款 EX25 尊雅版(进口),2012年,17.6万公里,大连,13.50万,57.54万,英菲尼迪
雪佛兰 科沃兹 2019款 320 自动欣悦版,2019年,0.3万公里,大连,7.09万,10.84万,雪佛兰
福特 福克斯 2012款 两厢 1.6L 自动舒适型,2015年,4.8万公里,大连,6.60万,14.21万,福特
哈弗H1 2017款 红标 1.5L AMT舒适型,2017年,2.0万公里,大连,5.38万,6.83万,哈弗
启辰T90 2018款 2.0L CVT智联智尚版 国V,2019年,1.5万公里,大连,10.05万,14.96万,启辰
丰田 威驰FS 2017款 1.5L CVT锋驰版,2019年,0.8万公里,大连,7.60万,9.31万,丰田
林肯MKZ 2017款 2.0T 尊雅版,2017年,2.9万公里,大连,17.20万,36.12万,林肯
本田 飞度 2016款 1.5L LX CVT舒适型,2016年,4.5万公里,大连,6.60万,8.88万,本田
斯巴鲁 森林人 2010款 2.5XS 自动豪华版,2010年,9.2万公里,大连,7.98万,29.29万,斯巴鲁
大众 帕萨特 2011款 1.8TSI DSG御尊版,2012年,8.9万公里,大连,8.80万,26.03万,大众
雪铁龙 世嘉 2012款 两厢 1.6L 手动乐尚型,2013年,7.9万公里,大连,2.70万,11.59万,雪铁龙
现代 全新胜达 2013款 2.4L 自动四驱尊贵型,2013年,9.6万公里,大连,10.88万,31.13万,现代
雪铁龙 爱丽舍 2016款 1.6L 手动时尚型,2016年,3.7万公里,大连,4.16万,9.10万,雪铁龙
奔驰C级 2015款 C 200 L 4MATIC 运动版,2015年,5.5万公里,大连,24.88万,43.40万,奔驰
